LAT,LON,84H
34.26938856111111,111.43221994722222,439.19
34.27068798333333,111.43232086666667,438.439
34.27072383611111,111.43233735555556,438.484
34.26042421388889,111.42689333888889,459.637
34.260311675,111.42692903055556,458.284
34.26008645833333,111.426941775,461.018
34.24652499444444,111.42453148333334,495.027
34.24640858055556,111.42504401111111,494.877
34.24196923888889,111.42612906111111,502.868
34.241662516666665,111.42650876944445,503.789
34.24168900555556,111.42600089166667,502.216
34.23696395555556,111.43129851944445,521.897
34.23692070833334,111.43126043055555,521.578
34.23680658055556,111.43167146944445,523.001
34.23664603888889,111.43194294166668,522.19
34.236465,111.43213827777778,519.917
34.23656751388889,111.43197178888889,519.037
