LGTD,LTTD,DRP
117.522861,41.358917,60.6
117.522528,41.303694,32.4
117.655444,41.109833,42.0
118.031750,41.525250,17.6
118.000056,41.435778,13.6
118.181694,41.591861,44.8
118.095333,41.450139,11.6
118.035139,41.312250,23.0
117.858944,41.262444,12.6
117.953278,41.178139,10.6
118.262417,41.392750,2.8
118.230889,41.258833,12.8
118.058417,41.154444,9.6
117.983389,41.044778,21.4
117.950000,40.883330,30.0
118.880556,40.045833,0.0
119.033333,40.000000,0.0
119.016667,40.050000,0.0
118.933333,39.783333,0.0
118.966667,39.750000,0.0
119.033333,40.000000,0.0
119.066667,39.833333,0.0
119.000000,40.000000,0.0
119.016667,40.066667,0.0
119.100000,40.016667,0.0
118.966667,39.766667,0.0
118.966667,39.933333,0.0
119.066667,39.816667,0.0
119.071667,39.927500,0.0
119.044167,39.866667,0.0
118.983333,39.900000,0.0
118.992500,39.811944,0.0
118.950000,40.000000,0.0
119.016667,40.066667,0.0
118.950000,40.000000,0.0
119.066667,39.983333,0.0
119.033333,40.016667,0.0
118.983333,39.900000,0.0
118.916667,39.800000,0.0
119.050000,39.833333,0.0
118.950000,39.783333,0.0
118.839167,39.683611,0.0
118.883333,39.783333,0.0
119.050000,39.966667,0.0
118.950000,39.783333,0.0
118.883333,39.750000,0.0
118.833333,39.916667,0.0
119.050000,39.966667,0.0
118.950000,39.783333,0.0
118.966667,40.033333,0.0
119.050000,39.950000,0.0
118.974167,39.883889,0.0
118.950000,39.900000,0.0
118.886389,40.014167,0.0
118.966667,40.033333,0.0
118.950000,39.900000,0.0
119.000000,40.033333,0.0
118.916667,39.783333,0.0
118.916667,39.783333,0.0
119.080556,39.860278,0.0
118.933333,39.833333,0.0
119.050000,39.816667,0.0
118.950000,39.800000,0.0
118.916667,39.783333,0.0
119.083333,40.050000,0.0
118.926944,38.871667,0.0
119.083333,39.866667,0.0
118.896111,39.872222,0.0
119.080000,39.900278,0.0
118.983333,39.950000,0.0
118.933333,39.966667,0.0
118.900000,39.766667,0.0
119.016667,39.916667,0.0
119.000000,40.050000,0.0
119.030278,39.910833,0.0
118.912222,39.860833,0.0
118.884722,40.080833,0.0
119.033333,39.850000,0.0
118.916667,39.966667,0.0
119.083333,40.066667,0.0
118.966667,39.850000,0.0
118.899722,40.066111,0.0
119.100000,40.016667,0.0
119.066667,39.900000,0.0
118.983333,39.900000,0.0
118.869167,40.051667,0.0
118.966667,39.916667,0.0
119.095278,39.940556,0.0
119.265000,40.026111,7.5
119.343056,39.934444,1.0
119.126389,39.948889,7.5
119.311389,39.953056,4.5
119.076944,39.971389,0.0
119.095833,39.963333,0.0
119.235278,40.062500,5.5
119.165556,39.886667,13.0
119.367778,39.968611,4.5
119.261944,40.105000,0.0
119.311389,39.977778,0.0
119.099444,39.980278,0.0
119.346667,39.988333,7.5
119.175556,39.793056,11.0
119.291389,39.923056,0.0
119.261667,39.953333,0.0
119.146944,40.027222,12.0
119.278611,39.974444,5.0
119.262500,39.966389,12.0
119.102500,39.914722,0.0
119.310278,39.908611,0.0
119.360556,39.964722,2.5
119.285556,39.956944,0.0
119.113056,39.968056,12.0
119.126111,40.033056,0.0
119.251944,40.147222,4.5
119.241389,40.086944,1.5
119.088333,39.943889,10.5
119.106667,39.955833,7.5
119.286389,39.997778,5.0
119.200833,40.036389,3.0
119.180833,40.035000,8.0
119.575950,40.007520,0.0
117.946190,41.027128,0.0
118.006980,40.803997,0.0
118.175960,40.433350,0.0
118.549210,40.500967,0.0
118.424119,40.201475,0.0
118.548794,40.191364,0.0
118.615789,40.119511,0.0
119.136106,39.465783,0.0
119.064086,39.402183,0.0
119.767745,39.983883,0.0
119.703098,40.034291,0.2
119.726034,39.998025,0.0
119.700878,39.975718,0.0
119.772778,39.968611,0.2
119.444361,39.879206,0.0
119.513611,39.850278,1.0
119.520000,39.827500,1.0
119.488347,39.821080,0.0
119.411159,39.825540,1.4
119.551087,39.952886,0.4
119.551581,39.923466,0.0
119.419531,39.851933,1.6
119.212459,39.978656,6.4
119.342003,39.805167,0.0
119.161954,40.038701,0.0
119.316614,40.090848,2.4
119.244312,40.031498,0.0
119.290313,40.016679,0.0
119.128918,39.999114,5.4
119.149677,39.691801,7.2
119.142063,39.674729,9.4
119.143701,39.644429,12.4
119.245822,39.613130,0.0
119.210255,39.589738,0.0
118.574583,39.361833,10.6
119.144129,39.579556,0.0
119.060544,39.299294,0.0
119.021823,39.211351,0.0
118.939719,39.201541,0.0
118.856753,39.214942,0.0
118.338222,39.163500,0.0
118.701247,39.244342,0.0
118.516556,39.444722,10.6
118.339559,39.163560,1.4
118.576883,39.863330,0.0
118.555000,39.757167,28.4
118.339980,39.153761,0.0
118.294670,39.737553,9.6
118.207636,39.686299,0.0
118.200000,39.633333,0.0
118.223083,39.583694,10.6
118.366667,39.833333,0.0
118.225137,39.578885,12.6
118.336774,39.838386,0.0
118.355595,39.812342,0.0
118.203889,39.875889,11.4
118.194977,39.680669,11.8
118.240240,39.603430,12.4
118.059506,39.295814,0.0
119.602914,40.301317,11.0
119.623481,40.219645,1.6
119.591621,40.170754,0.6
119.525891,40.192340,3.2
119.531435,40.136076,0.4
119.626779,40.079583,0.2
119.697976,40.157047,0.6
119.652334,40.069502,0.4
119.547674,40.045894,0.6
119.457130,40.046342,0.6
119.382305,39.960694,2.2
116.972834,41.773358,8.8
116.984700,41.523600,0.0
118.043576,41.587267,2.8
117.214400,41.659700,0.0
117.674961,41.205077,0.2
117.373056,41.543889,19.6
117.177118,41.725704,7.0
117.369167,41.535278,20.4
117.617971,41.531507,15.0
116.992500,41.523611,12.4
117.588501,41.631147,7.0
117.170556,41.480000,12.8
117.810276,41.521898,13.4
117.367778,41.409444,24.0
117.263211,41.762697,28.2
117.357800,41.320600,0.0
117.970924,41.234677,3.4
117.853658,41.622148,1.4
117.891022,41.658610,6.6
117.943611,41.451389,18.0
118.133024,41.591436,19.8
117.715000,41.657222,11.2
117.814449,41.681859,3.2
117.946900,41.580800,0.0
117.372471,41.349956,7.4
